city,dt,temp,anomaly
boston,1970-01-01,50.7,-0.6
boston,1971-01-01,50.9,-0.4
boston,1972-01-01,52.0,0.7
boston,1973-01-01,50.3,-1.0
boston,1974-01-01,53.0,1.7
boston,1975-01-01,51.2,-0.1
boston,1977-01-01,51.9,0.6
boston,1978-01-01,52.9,1.6
boston,1979-01-01,50.7,-0.6
boston,1980-01-01,51.8,0.5
boston,1981-01-01,50.0,-1.3
boston,1982-01-01,51.6,0.3
boston,1983-01-01,51.7,0.4
boston,1984-01-01,52.8,1.5
boston,1985-01-01,51.4,0.1
boston,1986-01-01,51.6,0.3
boston,1987-01-01,50.6,-0.7
boston,1988-01-01,50.4,-0.9
boston,1989-01-01,51.9,0.6
boston,1990-01-01,50.5,-0.8
boston,1991-01-01,52.6,1.3
boston,1992-01-01,53.5,2.2
boston,1993-01-01,50.3,-1.0
boston,1994-01-01,50.8,-0.5
boston,1995-01-01,53.2,1.9
boston,1996-01-01,51.1,-0.2
boston,1997-01-01,50.8,-0.5
boston,1998-01-01,51.3,0.0
boston,1999-01-01,52.6,1.3
boston,2000-01-01,52.6,1.3
boston,2001-01-01,50.8,-0.5
boston,2002-01-01,53.1,1.8
boston,2003-01-01,51.8,0.5
boston,2004-01-01,49.9,-1.4
boston,2005-01-01,51.3,0.0
boston,2006-01-01,51.8,0.5
boston,2007-01-01,52.8,1.5
boston,2008-01-01,51.6,0.3
boston,2009-01-01,51.3,0.0
boston,2010-01-01,51.2,-0.1
boston,2011-01-01,53.6,2.3
boston,2012-01-01,53.9,2.6
boston,2013-01-01,54.0,2.7
boston,2014-01-01,51.7,0.4
